,mean_test_score,params
0,0.7027329792370836,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (1, 1), 'vect__stop_words': None}"
1,0.6978271366489618,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (1, 1), 'vect__stop_words': 'english'}"
2,0.7098020280057943,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (1, 2), 'vect__stop_words': None}"
3,0.7042588121680348,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (1, 2), 'vect__stop_words': 'english'}"
4,0.7033124094640271,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (1, 3), 'vect__stop_words': None}"
5,0.7004732013520039,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (1, 3), 'vect__stop_words': 'english'}"
6,0.6747658136166104,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (2, 2), 'vect__stop_words': None}"
7,0.6474746499275712,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (2, 2), 'vect__stop_words': 'english'}"
8,0.6712699179140512,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (2, 3), 'vect__stop_words': None}"
9,0.6456204732013521,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (2, 3), 'vect__stop_words': 'english'}"
10,0.6187542250120714,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (3, 3), 'vect__stop_words': None}"
11,0.5694640270400773,"{'vect__binary': True, 'vect__min_df': 1, 'vect__ngram_range': (3, 3), 'vect__stop_words': 'english'}"
12,0.6986190246257846,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (1, 1), 'vect__stop_words': None}"
13,0.6929985514244326,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (1, 1), 'vect__stop_words': 'english'}"
14,0.7037566393046838,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (1, 2), 'vect__stop_words': None}"
15,0.6952969579913086,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (1, 2), 'vect__stop_words': 'english'}"
16,0.6983099951714148,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (1, 3), 'vect__stop_words': None}"
17,0.6938483824239497,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (1, 3), 'vect__stop_words': 'english'}"
18,0.6635055528730083,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (2, 2), 'vect__stop_words': None}"
19,0.6291839690970545,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (2, 2), 'vect__stop_words': 'english'}"
20,0.6596426846933848,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (2, 3), 'vect__stop_words': None}"
21,0.626924191211975,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (2, 3), 'vect__stop_words': 'english'}"
22,0.5969290197971994,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (3, 3), 'vect__stop_words': None}"
23,0.545649444712699,"{'vect__binary': True, 'vect__min_df': 2, 'vect__ngram_range': (3, 3), 'vect__stop_words': 'english'}"
24,0.7045871559633028,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (1, 1), 'vect__stop_words': None}"
25,0.6997199420569773,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (1, 1), 'vect__stop_words': 'english'}"
26,0.7098792853693867,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (1, 2), 'vect__stop_words': None}"
27,0.7036793819410914,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (1, 2), 'vect__stop_words': 'english'}"
28,0.7026750362143892,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (1, 3), 'vect__stop_words': None}"
29,0.7004538870111057,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (1, 3), 'vect__stop_words': 'english'}"
30,0.6749203283437952,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (2, 2), 'vect__stop_words': None}"
31,0.6472621921776919,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (2, 2), 'vect__stop_words': 'english'}"
32,0.6718879768227908,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (2, 3), 'vect__stop_words': None}"
33,0.6459295026557219,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (2, 3), 'vect__stop_words': 'english'}"
34,0.6192177691936263,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (3, 3), 'vect__stop_words': None}"
35,0.5694253983582811,"{'vect__binary': False, 'vect__min_df': 1, 'vect__ngram_range': (3, 3), 'vect__stop_words': 'english'}"
36,0.6995847416706905,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (1, 1), 'vect__stop_words': None}"
37,0.6951617576050217,"{'vect__binary': False, 'vect__min_df': 2, 'vect__ngram_range': (1, 1), 'vect__stop_words': 'english'}"
